step	protected_cells	species	value	pd	disturbance
1	0	1.0	1.0	1.0	0.06912152270151284
2	0	1.0	1.0	1.0	0.11006523456595887
3	0	0.992	0.9998168274134662	0.9964881726597398	0.1499482318661525
4	25	0.988	0.9997685477387879	0.9949020169680204	0.1771559712019262
5	50	0.98	0.9969361863192255	0.9916199124187896	0.25378678047900294
6	75	0.958	0.9963176816100595	0.9791280189264003	0.2804234439325781
7	100	0.94	0.9913953003268643	0.9740902657719883	0.32337454672270144
8	125	0.93	0.7599110526382808	0.9705507257281938	0.346379835069998
9	150	0.916	0.7542780391449788	0.9610070743035801	0.38869779162360746
10	175	0.904	0.7530253879162152	0.9511888895568795	0.41208521726425995
11	200	0.896	0.7529098840091059	0.9474162206172987	0.4488871212368555
12	200	0.896	0.7529098840091059	0.9474162206172987	0.4692673563646504
13	200	0.878	0.7491165668965919	0.9385722708270445	0.48236760443472193
14	200	0.864	0.7467646811838753	0.9306892134302027	0.52146996614797
15	200	0.85	0.7360078703188819	0.9219710568069082	0.5393739468069051
16	200	0.828	0.7313629871413956	0.9148804167255735	0.5631574214390961
17	200	0.814	0.7222938926530995	0.9017372431537554	0.6110654877644515
18	200	0.794	0.7196301449797445	0.8793535257796616	0.6274331345390382
19	200	0.788	0.7196001130117721	0.8763131828917405	0.6505271115966268
20	200	0.772	0.7186995952675944	0.8718200711166468	0.7002777913021391
21	200	0.75	0.7152806904570463	0.8626169078923142	0.7124425581180042
22	200	0.73	0.7126133954992018	0.8504086889725596	0.72752460584159
23	200	0.72	0.7096602752607044	0.8453065212429749	0.7467841239109867
24	200	0.706	0.6949490334291328	0.8405347340511565	0.7467841239109867
25	200	0.702	0.6949061883231614	0.8393900947289394	0.7467841239109867
26	200	0.698	0.6947442529871894	0.8377833827257518	0.7467841239109867
27	200	0.688	0.69318885783345	0.8318748037084273	0.7467841239109867
28	200	0.68	0.691954604402826	0.8271839802705684	0.7467841239109867
29	200	0.656	0.6893737356744528	0.8133232562517178	0.7467841239109867
30	200	0.658	0.6893905730500788	0.8139241105230057	0.7467841239109867
